inits,Sample,SP,PLANT,Well,Order,abundance,size,OTHER,feed,ID,,,
CN,ARDO6,ARDO,6,,HYME,2,S,WASP,pred,WASP,,,
,ENCA4,ENCA,4,A2,HYME,1,L,WASP,pred,WASP,,,
AW,ERFA13,ERFA,13,B1,HYME,1,S,WASP,pred,WASP,,,
,ERPA11,ERPA,11,A4,HYME,2,S,WASP,pred,WASP,,,
,ERPA12,ERPA,12,C6,HYME,6,S,WASP,pred,WASP,,,
CN,ERPA3,ERPA,3,,HYME,2,S,WASP,pred,WASP,,,
CN,ERPA4,ERPA,4,,HYME,5,S,WASP,pred,WASP,,,
,ERPA7,ERPA,7,B2,HYME,5,S,WASP,pred,WASP,,,
,ERPA8,ERPA,8,D1,HYME,7,S,WASP,pred,WASP,,,
CN,LUAL11,LUAL,11,,HYME,1,L,WASP,pred,WASP,,,
CN,LUAL12,LUAL,12,,HYME,1,S,WASP,pred,WASP,,,
,LUAL2,LUAL,2,B4,HYME,2,S,WASP,pred,WASP,,,
AW,SAME11,SAME,11,D1,HYME,1,S,WASP,pred,WASP,,,
CN,SAME7,SAME,7,,HYME,1,S,WASP,pred,WASP,,,
CN,SAAP15,SAAP,15,,HYME,1,S,X,pred,HYME,,,
,ARCA14,ARCA,14,C6,ACAR,1,S,,pred,ACAR,,,
WN,ARDO7,ARDO,7,A4,ACAR,1,S,,pred,ACAR,,,
,ENCA4,ENCA,4,A4,ACAR,2,S,,pred,ACAR,,,
,ERFA10,ERFA,10,D3,ACAR,1,S,,pred,ACAR,,,
,ERFA10,ERFA,10,B6,ACAR,1,S,,pred,ACAR,,,
WN,ERFA12,ERFA,12,B1,ACAR,4,S,,pred,ACAR,,,
AW,ERFA4,ERFA,4,C4,ACAR,3,S,,pred,ACAR,,,
,ERPA11,ERPA,11,A5,ACAR,1,S,,pred,ACAR,,,
AW,LUAL10,LUAL,10,A4,ACAR,1,S,,pred,ACAR,,,
CN,LUAL12,LUAL,12,,ACAR,4,S,,pred,ACAR,,,
,LUAL13,LUAL,13,C3,ACAR,1,S,,pred,ACAR,,,
CN,SAAP15,SAAP,15,,ACAR,1,S,,pred,ACAR,,,
CN,SAAP6,SAAP,6,,ACAR,1,S,,pred,ACAR,,,
CN,SAAP7,SAAP,7,,ACAR,3,S,,pred,ACAR,,,
,SAME10,SAME,10,C2,ACAR,1,S,,pred,ACAR,,,
CN,ARCA11,ARCA,11,,ARAN,4,L,,pred,ARAN,,,
,ARCA14,ARCA,14,D4,ARAN,4,L,,pred,ARAN,,,
CN,ARCA4,ARCA,4,,ARAN,2,L,,pred,ARAN,,,
CN,ARCA4,ARCA,4,,ARAN,1,S,,pred,ARAN,,,
CN,ARCA6,ARCA,6,,ARAN,3,L,,pred,ARAN,,,
,ARCA7,ARCA,7,A1,ARAN,1,L,,pred,ARAN,,,
,ARCAC2,ARCA,C2,A3,ARAN,1,L,,pred,ARAN,,,
CN,ARDO1,ARDO,1,,ARAN,1,L,,pred,ARAN,,,
CN,ARDO1,ARDO,1,,ARAN,2,S,,pred,ARAN,,,
,ARDO10,ARDO,10,C3,ARAN,1,S,,pred,ARAN,,,
,ARDO11,ARDO,11,A1,ARAN,1,L,,pred,ARAN,,,
,ARDO11,ARDO,11,B6,ARAN,1,S,,pred,ARAN,,,
CN,ARDO3,ARDO,3,,ARAN,1,L,,pred,ARAN,,,
CN,ARDO3,ARDO,3,,ARAN,3,S,,pred,ARAN,,,
WN,ARDO8,ARDO,8,B2,ARAN,1,S,,pred,ARAN,,,
,ENCA12,ENCA,12,C6,ARAN,1,L,,pred,ARAN,,,
EA,ENCA5,ENCA,5,C1,ARAN,1,L,,pred,ARAN,,,
EA,ENCA5,ENCA,5,C4,ARAN,3,S,,pred,ARAN,,,
,ENCA6,ENCA,6,A5,ARAN,1,L,,pred,ARAN,,,
CN,ENCA8,ENCA,8,,ARAN,3,L,,pred,ARAN,,,
EA,ENCA9,ENCA,9,A1,ARAN,1,L,,pred,ARAN,,,
EA,ENCA9,ENCA,9,A5,ARAN,1,S,,pred,ARAN,,,
WN,ENCAx,ENCA,14,A1,ARAN,1,L,,pred,ARAN,,,
WN,ENCAX,ENCA,14,A2,ARAN,3,S,,pred,ARAN,,,
,ERFA10,ERFA,10,C2,ARAN,2,L,,pred,ARAN,,,
,ERFA10,ERFA,10,D5,ARAN,2,S,,pred,ARAN,,,
,ERFA11,ERFA,11,B5,ARAN,1,L,,pred,ARAN,,,
,ERFA11,ERFA,11,C1,ARAN,1,S,,pred,ARAN,,,
WN,ERFA12,ERFA,12,A1,ARAN,2,L,,pred,ARAN,,,
AW,ERFA13,ERFA,13,A1,ARAN,2,S,,pred,ARAN,,,
,ERFA2,ERFA,2,B4,ARAN,2,L,,pred,ARAN,,,
,ERFA2,ERFA,2,B5,ARAN,2,S,,pred,ARAN,,,
AW,ERFA4,ERFA,4,A3,ARAN,1,L,,pred,ARAN,,,
AW,ERFA4,ERFA,4,C3,ARAN,1,S,,pred,ARAN,,,
AW,ERFA6,ERFA,6,C4,ARAN,4,L,,pred,ARAN,,,
,ERFA7,ERFA,7,B4,ARAN,4,S,,pred,ARAN,,,
,ERFA9,ERFA,9,A3,ARAN,2,L,,pred,ARAN,,,
,ERFA9,ERFA,9,A5,ARAN,4,S,,pred,ARAN,,,
,ERPA11,ERPA,11,A2,ARAN,2,S,,pred,ARAN,,,
CN,ERPA3,ERPA,3,,ARAN,1,L,,pred,ARAN,,,
,ERPA3.1,ERPA,3.1,B5,ARAN,3,L,,pred,ARAN,,,
CN,ERPA4,ERPA,4,,ARAN,2,L,,pred,ARAN,,,
CN,ERPA4,ERPA,4,,ARAN,1,S,,pred,ARAN,,,
,ERPA7,ERPA,7,A3,ARAN,4,S,,pred,ARAN,,,
,ERPA8,ERPA,8,C4,ARAN,1,S,,pred,ARAN,,,
CN,ISME1,ISME,1,,ARAN,1,L,,pred,ARAN,,,
AG,ISME4,ISME,4,B1,ARAN,1,S,,pred,ARAN,,,
CN,ISME8,ISME,8,,ARAN,3,S,,pred,ARAN,,,
CN,ISME9,ISME,9,,ARAN,1,L,,pred,ARAN,,,
AW,LUAL10,LUAL,10,A5,ARAN,1,S,,pred,ARAN,,,
CN,LUAL11,LUAL,11,,ARAN,5,S,,pred,ARAN,,,
CN,LUAL12,LUAL,12,,ARAN,2,L,,pred,ARAN,,,
,LUAL14,LUAL,14,C2,ARAN,3,S,,pred,ARAN,,,
,LUAL2,LUAL,2,A3,ARAN,2,L,,pred,ARAN,,,
,LUAL2,LUAL,2,A6,ARAN,1,S,,pred,ARAN,,,
,LUAL3,LUAL,3,B4,ARAN,2,S,,pred,ARAN,,,
,LUAL6.2,LUAL,6.2,A1,ARAN,2,L,,pred,ARAN,,,
,LUAL6.2,LUAL,6.2,A2,ARAN,2,S,,pred,ARAN,,,
CN,SAAP1,SAAP,1,,ARAN,2,L,,pred,ARAN,,,
CN,SAAP12,SAAP,12,,ARAN,1,L,,pred,ARAN,,,
CN,SAAP15,SAAP,15,,ARAN,2,L,,pred,ARAN,,,
CN,SAAP15,SAAP,15,,ARAN,2,S,,pred,ARAN,,,
CN,SAAP2,SAAP,2,,ARAN,1,L,,pred,ARAN,,,
CN,SAAP2,SAAP,2,,ARAN,2,S,,pred,ARAN,,,
CN,SAAP3,SAAP,3,,ARAN,1,L,,pred,ARAN,,,
CN,SAAP7,SAAP,7,,ARAN,2,L,,pred,ARAN,,,
,SAME10,SAME,10,B3,ARAN,3,S,,pred,ARAN,,,
AW,SAME11,SAME,11,C6,ARAN,1,L,,pred,ARAN,,,
,SAME12,SAME,12,A2,ARAN,1,S,,pred,ARAN,,,
,SAME3,SAME,3,B1,ARAN,1,L,,pred,ARAN,,,
,SAME3,SAME,3,B2,ARAN,3,S,,pred,ARAN,,,
,SAME4,SAME,4,C5,ARAN,1,S,,pred,ARAN,,,
,SAME5,SAME,5,C4,ARAN,1,S,,pred,ARAN,,,
,ENCA6,ENCA,6,A6,ARCH,1,L,,herb,ARCH,,,
CN,SAAP15,SAAP,15,,ARCH,1,L,,herb,ARCH,,,
CN,SAAP2,SAAP,2,,ARCH,2,L,,herb,ARCH,,,
CN,SAAP3,SAAP,3,,ARCH,2,L,,herb,ARCH,,,
CN,SAAP5,SAAP,5,,ARCH,3,L,,herb,ARCH,,,
CN,SAAP6,SAAP,6,,ARCH,1,L,,herb,ARCH,,,
,ARCA5,ARCA,5,A2,COLE,2,L,,herb,COLE,,,
,ARCA5,ARCA,5,D6,COLE,1,S,,herb,COLE,,,
CN,ARCA6,ARCA,6,,COLE,1,S,,herb,COLE,,,
,ARCA7,ARCA,7,A4,COLE,1,L,,herb,COLE,,,
CN,ARDO1,ARDO,1,,COLE,5,L,,herb,COLE,,,
CN,ARDO1,ARDO,1,,COLE,4,S,,herb,COLE,,,
,ARDO10,ARDO,10,D2,COLE,1,L,,herb,COLE,,,
,ARDO11,ARDO,11,A3,COLE,1,L,,herb,COLE,,,
,ARDO11,ARDO,11,B3,COLE,4,S,,herb,COLE,,,
CN,ARDO13,ARDO,13,,COLE,7,L,,herb,COLE,,,
CN,ARDO3,ARDO,3,,COLE,10,L,,herb,COLE,,,
CN,ARDO6,ARDO,6,,COLE,1,L,,herb,COLE,,,
WN,ARDO8,ARDO,8,D6,COLE,3,L,,herb,COLE,,,
WN,ARDO8,ARDO,8,D5,COLE,3,S,,herb,COLE,,,
,ENCA10,ENCA,10,B1,COLE,4,S,,herb,COLE,,,
AW,ENCA11,ENCA,11,C1,COLE,16,S,,herb,COLE,,,
CN,ENCA3,ENCA,3,,COLE,4,L,,herb,COLE,,,
CN,ENCA3,ENCA,3,,COLE,1,S,,herb,COLE,,,
,ENCA4,ENCA,4,A1,COLE,4,L,,herb,COLE,,,
,ENCA4,ENCA,4,A1,COLE,9,S,,herb,COLE,,,
EA,ENCA5,ENCA,5,C2,COLE,1,L,,herb,COLE,,,
EA,ENCA5,ENCA,5,C3,COLE,9,S,,herb,COLE,,,
,ENCA6,ENCA,6,A3,COLE,1,S,,herb,COLE,,,
,ENCA7,ENCA,7,C1,COLE,15,S,,herb,COLE,,,
CN,ENCA8,ENCA,8,,COLE,10,L,,herb,COLE,,,
CN,ENCA8,ENCA,8,,COLE,2,S,,herb,COLE,,,
EA,ENCA9,ENCA,9,A2,COLE,2,L,,herb,COLE,,,
EA,ENCA9,ENCA,9,A3,COLE,7,S,,herb,COLE,,,
,ERFA10,ERFA,10,C3,COLE,1,L,,herb,COLE,,,
,ERFA11,ERFA,11,A6,COLE,5,S,,herb,COLE,,,
WN,ERFA12,ERFA,12,A5,COLE,2,L,,herb,COLE,,,
WN,ERFA12,ERFA,12,B2,COLE,6,S,,herb,COLE,,,
,ERFA2,ERFA,2,C4,COLE,1,L,,herb,COLE,,,
,ERFA2,ERFA,2,B6,COLE,3,S,,herb,COLE,,,
AW,ERFA3,ERFA,3,B2,COLE,1,L,,herb,COLE,,,
AW,ERFA4,ERFA,4,A1,COLE,1,L,,herb,COLE,,,
AW,ERFA4,ERFA,4,B5,COLE,1,S,,herb,COLE,,,
,ERFA5,ERFA,5,B3,COLE,5,S,,herb,COLE,,,
AW,ERFA6,ERFA,6,B1,COLE,1,L,,herb,COLE,,,
AW,ERFA6,ERFA,6,B5,COLE,2,S,,herb,COLE,,,
,ERFA7,ERFA,7,B1,COLE,10,S,,herb,COLE,,,
,ERFA9,ERFA,9,A1,COLE,7,S,,herb,COLE,,,
AW,ERPA1,ERPA,1,A1,COLE,1,L,,herb,COLE,,,
,ERPA12,ERPA,12,C1,COLE,3,S,,herb,COLE,,,
CN,ERPA3,ERPA,3,,COLE,1,S,,herb,COLE,,,
,ERPA3.1,ERPA,3.1,C3,COLE,1,L,,herb,COLE,,,
,ERPA7,ERPA,7,B1,COLE,1,S,,herb,COLE,,,
,ERPA8,ERPA,8,C3,COLE,17,S,,herb,COLE,,,
AG,ISME5,ISME,5,A4,COLE,1,S,,herb,COLE,,,
CN,ISME6,ISME,6,,COLE,28,L,,herb,COLE,,,
AW,LUAL10,LUAL,10,A1,COLE,2,L,,herb,COLE,,,
AW,LUAL10,LUAL,10,A3,COLE,1,S,,herb,COLE,,,
,LUAL13,LUAL,13,C2,COLE,2,S,,herb,COLE,,,
,LUAL14,LUAL,14,D1,COLE,2,L,,herb,COLE,,,
,LUAL2,LUAL,2,B2,COLE,4,S,,herb,COLE,,,
,LUAL3,LUAL,3,A2,COLE,1,L,,herb,COLE,,,
,LUAL3,LUAL,3,B1,COLE,3,S,,herb,COLE,,,
,LUAL6.2,LUAL,6.2,A6,COLE,1,S,,herb,COLE,,,
CN,SAAP10,SAAP,10,,COLE,1,S,,herb,COLE,,,
CN,SAAP11,SAAP,11,,COLE,2,S,,herb,COLE,,,
CN,SAAP15,SAAP,15,,COLE,1,S,,herb,COLE,,,
CN,SAAP2,SAAP,2,,COLE,1,L,,herb,COLE,,,
CN,SAAP3,SAAP,3,,COLE,10,L,,herb,COLE,,,
CN,SAAP3,SAAP,3,,COLE,2,S,,herb,COLE,,,
CN,SAAP6,SAAP,6,,COLE,1,L,,herb,COLE,,,
CN,SAAP7,SAAP,7,,COLE,6,L,,herb,COLE,,,
CN,SAAP7,SAAP,7,,COLE,1,S,,herb,COLE,,,
CN,SAAP8,SAAP,8,,COLE,1,L,,herb,COLE,,,
AW,SAME11,SAME,11,C5,COLE,2,L,,herb,COLE,,,
,SAME12,SAME,12,A5,COLE,1,S,,herb,COLE,,,
,SAME3,SAME,3,B5,COLE,1,S,,herb,COLE,,,
,SAME4,SAME,4,C6,COLE,1,L,,herb,COLE,,,
,SAME5,SAME,5,C3,COLE,3,S,,herb,COLE,,,
,SAME5.2,SAME,5.2,A4,COLE,1,L,,herb,COLE,,,
,SAME5.2,SAME,5.2,A3,COLE,1,S,,herb,COLE,,,
,ARCAC2,ARCA,C2,A4,DERM,1,L,,omni,DERM,,,
CN,ARCA4,ARCA,4,,DIPT,1,S,,herb,DIPT,,,
,ARCAC2,ARCA,C2,A1,DIPT,4,L,,herb,DIPT,,,
,ARCAC2,ARCA,C2,D4,DIPT,1,L,,herb,DIPT,,,
CN,ARDO1,ARDO,1,,DIPT,4,S,,herb,DIPT,,,
,ARDO11,ARDO,11,B4,DIPT,1,S,,herb,DIPT,,,
CN,ARDO3,ARDO,3,,DIPT,6,S,,herb,DIPT,,,
WN,ARDO7,ARDO,7,A5,DIPT,1,S,,herb,DIPT,,,
CN,ENCA1,ENCA,1,,DIPT,1,S,,herb,DIPT,,,
,ENCA4,ENCA,4,A2,DIPT,4,S,,herb,DIPT,,,
WN,ERFA12,ERFA,12,D5,DIPT,1,S,,herb,DIPT,,,
,ERFA7,ERFA,7,B6,DIPT,2,S,,herb,DIPT,,,
CN,ERPA3,ERPA,3,,DIPT,1,S,,herb,DIPT,,,
,ERPA8,ERPA,8,C6,DIPT,1,S,,herb,DIPT,,,
AW,LUAL10,LUAL,10,A6,DIPT,1,S,,herb,DIPT,,,
,LUAL3,LUAL,3,B5,DIPT,1,S,,herb,DIPT,,,
CN,SAAP1,SAAP,1,,DIPT,1,S,,herb,DIPT,,,
CN,SAAP10,SAAP,10,,DIPT,2,S,,herb,DIPT,,,
CN,SAAP3,SAAP,3,,DIPT,4,S,,herb,DIPT,,,
,SAME10,SAME,10,B4,DIPT,1,S,,herb,DIPT,,,
,SAME12,SAME,12,B2,DIPT,1,S,,herb,DIPT,,,
CN,SAME3,SAME,3,,DIPT,1,S,,herb,DIPT,,,
,ARCA14,ARCA,14,D6,HYME,13,L,,pred,HYME,,,
,ARCA5,ARCA,5,A1,HYME,9,L,,pred,HYME,,,
,ARCA5,ARCA,5,A3,HYME,1,S,,pred,HYME,,,
,ARCAC2,ARCA,C2,B3,HYME,1,S,,pred,HYME,,,
WN,ARDO7,ARDO,7,A1,HYME,1,L,,pred,HYME,,,
WN,ARDO8,ARDO,8,A1,HYME,,,,pred,HYME,,,
WN,ENCAX,ENCA,14,A4,HYME,1,S,,pred,HYME,,,
WN,ERFA12,ERFA,12,A2,HYME,2,L,,pred,HYME,,,
AW,ERFA4,ERFA,4,A2,HYME,5,L,,pred,HYME,,,
AW,ERFA4,ERFA,4,B4,HYME,1,S,,pred,HYME,,,
AW,ERPA1,ERPA,1,A6,HYME,1,S,,pred,HYME,,,
AW,ERPA10,ERPA,10,A4,HYME,7,S,,pred,HYME,,,
AW,ERPA10,ERPA,10,A5,HYME,1,S,,pred,HYME,,,
CN,ISME11,ISME,11,,HYME,1,S,,pred,HYME,,,
,LUAL14,LUAL,14,C5,HYME,1,S,,pred,HYME,,,
WN,LUAL4,LUAL,4,A1,HYME,2,L,,pred,HYME,,,
CN,SAAP1,SAAP,1,,HYME,1,L,,pred,HYME,,,
AW,ERFA6,ERFA,6,D2,ISOP,1,L,,herb,ISOP,,,
CN,ARDO13,ARDO,13,,LEPI,1,S,,herb,LEPI,,,
AW,ERFA6,ERFA,6,C2,LEPI,1,L,,herb,LEPI,,,
CN,SAAP4,SAAP,4,,LEPI,2,L,,herb,LEPI,,,
CN,ARCA4,ARCA,4,,MIRID,1,L,,omni,MIRID,,,
CN,ISME12,ISME,12,,MIRID,1,S,,omni,MIRID,,,
CN,ARCA6,ARCA,6,,NEUR,1,S,,pred,NEUR,,,
,ERFA11,ERFA,11,C3,NEUR,1,S,,pred,NEUR,,,
,ERFA5,ERFA,5,A3,NEUR,1,L,,pred,NEUR,,,
AG,ISME7,ISME,7,D6,NEUR,1,S,,pred,NEUR,,,
CN,SAAP6,SAAP,6,,NEUR,1,S,,pred,NEUR,,,
CN,ARCA6,ARCA,6,,ORTH,1,L,,herb,ORTH,,,
,ARDO10,ARDO,10,D1,ORTH,1,L,,herb,ORTH,,,
,ERFA11,ERFA,11,A5,ORTH,1,L,,herb,ORTH,,,
AW,ERPA1,ERPA,1,A3,ORTH,1,L,,herb,ORTH,,,
,ERPA12,ERPA,12,C5,ORTH,1,S,,herb,ORTH,,,
CN,ERPA4,ERPA,4,,ORTH,2,L,,herb,ORTH,,,
CN,ISME12,ISME,12,,ORTH,1,L,,herb,ORTH,,,
CN,LUAL12,LUAL,12,,ORTH,1,L,,herb,ORTH,,,
,LUAL13,LUAL,13,C5,ORTH,2,L,,herb,ORTH,,,
,LUAL6.2,LUAL,6.2,D4,ORTH,1,L,,herb,ORTH,,,
CN,SAAP1,SAAP,1,,ORTH,1,L,,herb,ORTH,,,
CN,SAAP3,SAAP,3,,ORTH,1,L,,herb,ORTH,,,
CN,SAAP5,SAAP,5,,ORTH,1,L,,herb,ORTH,,,
CN,SAAP6,SAAP,6,,ORTH,1,L,,herb,ORTH,,,
CN,SAAP7,SAAP,7,,ORTH,1,L,,herb,ORTH,,,
,SAME12,SAME,12,A1,ORTH,1,L,,herb,ORTH,,,
CN,ARDO1,ARDO,1,,PSCO,1,S,,herb,PSCO,,,
CN,SAAP1,SAAP,1,,PSCO,1,S,,herb,PSCO,,,
,ENCA10,ENCA,10,B2,PSOC,1,S,,herb,PSOC,,,
EA,ENCA9,ENCA,9,B2,PSOC,1,S,,herb,PSOC,,,
,SAME5,SAME,5,C6,PSOC,2,L,,herb,PSOC,,,
CN,ARCA11,ARCA,11,,STER,4,S,,herb,STER,,,
CN,ARCA9,ARCA,9,,STER,2,S,,herb,STER,,,
,ARCAC2,ARCA,C2,B2,STER,1,S,,herb,STER,,,
CN,ISME11,ISME,11,,STER,1,S,,herb,STER,,,
CN,ISME3,ISME,3,,STER,2,S,,herb,STER,,,
CN,SAAP1,SAAP,1,,STER,5,S,,herb,STER,,,
WN,ARDO7,ARDO,7,D6,THYS,1,L,,herb,THYS,,,
,ENCA4,ENCA,4,A5,THYS,1,S,,herb,THYS,,,
,ERFA10,ERFA,10,D2,THYS,6,S,,herb,THYS,,,
,ERFA11,ERFA,11,C2,THYS,1,S,,herb,THYS,,,
AW,ERFA13,ERFA,13,A4,THYS,8,S,,herb,THYS,,,
AW,ERFA4,ERFA,4,C1,THYS,1,S,,herb,THYS,,,
AW,ERFA6,ERFA,6,D4,THYS,3,S,,herb,THYS,,,
AW,ERPA1,ERPA,1,A5,THYS,1,S,,herb,THYS,,,
,ERPA11,ERPA,11,C5,THYS,1,S,,herb,THYS,,,
,ERPA11,ERPA,11,A6,THYS,1,S,,herb,THYS,,,
,ERPA7,ERPA,7,D1,THYS,2,S,,herb,THYS,,,
,ERPA8,ERPA,8,C5,THYS,2,S,,herb,THYS,,,
